rank,artist,spotify_id,listeners,daily_change_listeners,peak_listeners
3577,Dwayne Johnson,1T8S48bD91THNKBByWBDyn,"4,030,535","40,524","6,368,015"
3578,Sefo,1ITjgqpqMDJlqZGAK3mlPQ,"4,026,400","-1,662","7,508,861"
3579,Twisted Sister,7b85ve82Sh36a3UAx74wut,"4,023,504","11,499","5,625,515"
3580,Gurnazar,682M6cmwGHOyAB1ZmPv38W,"4,023,409","-17,002","7,007,493"
3581,Hemachandra Vedala,26R3WRFIf6FbbNAQuMIjkN,"4,021,253","-18,826","4,172,367"
3582,La Mave,1G1mO2mSe2pO8yIfIX7kEx,"4,019,031","-2,996","5,019,759"
3583,Mumuzinho,34dfPo3Zi55yM6oV46q4y7,"4,018,036","-7,180","5,655,139"
3584,Collective Soul,4e5V1Q2dKCzbLVMQ8qbTn6,"4,016,989","11,616","4,338,591"
3585,FIFTY4,1NApv6DzDP19uLuxJ0CuuP,"4,016,524","-31,118","4,203,495"
3586,Los Alegres de la Sierra,4Yfe8uXcl5PYwknQ4OMZIP,"4,015,722","9,651","4,059,801"
3587,Rush,2Hkut4rAAyrQxRdof7FVJq,"4,013,976","8,120","4,285,059"
3588,Regina Spektor,3z6Gk257P9jNcZbBXJNX5i,"4,013,938","51,214","4,013,938"
3589,Parker McCollum,0Z8XVUAOBPM4x12wKnFHEQ,"4,012,042","10,161","6,101,946"
3590,Faul & Wad,6HUm6AHJE0oisACMN6NNJ5,"4,011,681","27,322","5,366,631"
3591,Buena Vista Social Club,11kBu957KTYoAltZHDm8gW,"4,011,064","3,800","4,419,072"
3592,Jaspinder Narula,4qf5iWCSqeCW9TlbwO58bo,"4,009,532","-28,402","4,331,309"
3593,Tribbs,6iqDK7aHVlwGGgPmcdSK5L,"4,007,767",404,"9,550,305"
3594,Jedis,3RJORoXd6fJDeyOZJ4YgTN,"4,007,512","11,930","4,007,512"
3595,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo,"4,005,520",-830,"4,385,538"
3596,Aimyon,5kVZa4lFUmAQlBogl1fkd6,"4,005,291","9,488","4,567,720"
